strain	source_type	country	FLC_MIC	CAS_MIC	unk1	MLST_DST	MLST_clade	unk2	coverage	nreads		
CEC3615	com	Morocco	0.25	0.023	 	1369	2	 	80	7534932
CEC4034	sup	UK	0.094	0.125	 	208	2	 	73	5582345
CEC3558	com	Belgium	0.5	0.064	 	194	2	 	46	4637902
CEC4482	NA	France	0.19	0.25	 	3102	2	 	171	13153847
CEC4487	NA	France	0.38	0.19	 	3105	2	 	168	12532368
CEC4493	NA	France	0.125	0.25	 	3100	2	 	160	13110883
CEC4494	NA	France	0.125	0.25	 	3106	2	 	203	15977152
CEC3658	sup	France	0.25	0.023	 	2194	3	 	47	4521756
CEC4259	com	Guiana	0.5	0.032	 	1953	3	 	40	3073804
CEC1289	inv	France	0.5	0.023	 	15	3	 	36	3445232
CEC3626	com	Belgium	0.5	0.032	 	865	3	 	48	4820388
CEC3689	sup	France	0.25	0.023	 	2194	3	 	71	6458912
CEC3681	inv	France	0.19	0.016	 	2198	3	 	69	6053177
CEC3557	com	Belgium	0.019	0.032	 	868	3	 	65	6143946
CEC3596	inv	France	0.38	0.016	 	33	3	 	73	7093326
CEC709	sup	France	0.19	0.032	 	1643	3	 	71	6301192
CEC3597	inv	France	0.38	0.016	 	17	3	 	84	7884850
CEC3631	com	Guiana	0.5	0.032	 	1953	3	 	42	4349585
CEC3638	com	Belgium	0.25	0.016	 	1000	3	 	254	25402156
CEC3579	com	France	0.38	0.016	 	1769	3	 	110	8684792
CEC3548	com	Belgium	0.38	0.032	 	461	3	 	78	6754659
CEC3715	sup	France	0.25	0.016	 	2279	3	 	80	7746400
CEC4038	sup	UK	0.75	0.023	 	2276	3	 	54	4207575
CEC3529	sup	UK	0.25	0.016	 	2278	4	 	66	6192413
CEC3540	inv	France	0.5	0.023	 	27	4	 	74	6596123
CEC1492	unknown	unknown	0.25	0.016	 	124	4	 	108	9096726
CEC3532	com	France	0.38	0.016	 	1766	4	 	62	6130025
CEC2022	inv	France	0.25	0.016	 	95	4	 	53	4197852
CEC3535	com	Morocco	0.25	0.125	 	605	4	 	50	4566710
CEC3541	inv	France	0.023	0.38	 	28	4	 	64	5650726
CEC3530	com	France	0.38	0.032	 	1771	4	 	57	5163333
CEC3551	sup	France	0.064	0.125	 	1004	4	 	76	6793503
CEC3602	com	Morocco	0.25	0.016	 	504	4	 	39	3669968
CEC3611	com	Morocco	0.25	0.016	 	1389	4	 	64	5876995
CEC3659	sup	France	0.19	0.032	 	914	4	 	50	4748712
CEC3716	sup	France	0.125	0.016	 	924	4	 	49	4738167
CEC3675	inv	France	0.094	0.023	 	423	4	 	63	5951944
CEC4026	sup	UK	0.25	0.016	 	2278	4	 	230	17759454
CEC3536	com	Morocco	0.19	0.032	 	423	4	 	36	3575381
CEC708	sup	France	0.25	0.032	 	1642	4	 	59	5516754
CEC3676	sup	France	0.094	0.032	 	95	4	 	75	7113137
CEC3610	com	Morocco	0.25	0.016	 	1386	4	 	82	7488787
CEC3556	com	Morocco	0.25	0.016	 	124	4	 	56	5235993
CEC3607	com	Morocco	0.25	0.032	 	1405	4	 	62	6174715
CEC704	sup	France	0.38	0.016	 	504	4	 	55	7392463
CEC711	sup	France	0.19	0.047	 	1644	4	 	39	3836645
CEC3674	sup	France	0.064	0.016	 	2274	4	 	79	7408293
CEC3683	inv	France	0.19	0.047	 	423	4	 	58	5465892
CEC712	sup	France	0.25	0.016	 	1645	4	 	57	5350740
CEC3555	inv	France	0.38	0.094	 	13	4	 	59	5755895
CEC4497	NA	France	0.125	0.125	 	924	4	 	159	12546328
CEC3637	sup	Niger	0.38	0.064	 	950	5	 	101	9658293
CEC3671	inv	France	0.19	0.047	 	840	7	 	50	4921679
CEC2023	com	Guiana	0.19	0.032	 	602	8	 	138	10998631
CEC3622	com	Brazil	0.094	0.016	 	602	8	 	58	5770762
CEC3634	com	Brazil	0.094	0.023	 	1360	8	 	53	5131292
CEC3613	com	Morocco	0.5	0.064	 	1394	8	 	54	5450432
CEC2018	sup	France	0.25	0.032	 	529	9	 	90	7401988
CEC3533	com	France	0.25	0.016	 	1767	9	 	50	4734751
CEC3668	sup	France	0.38	0.016	 	2234	9	 	71	6421866
CEC4261	sup	France	1	0.016	 	1717	9	 	71	5710362
CEC3679	sup	UK	0.38	0.032	 	2275	10	 	63	5797140
CEC3616	com	Morocco	0.25	0.032	 	1363	10	 	79	7290642
CEC3706	sup	France	0.25	0.064	 	2227	10	 	63	5879460
CEC3711	sup	France	0.19	0.016	 	2195	10	 	61	5706530
CEC4024	sup	UK	0.38	0.032	 	2275	10	 	198	15710470
CEC3617	inv	France	0.19	0.012	 	2197	11	 	62	5796879
CEC1426	sup	France	0.5	0.008	 	1002	11	 	59	4831040
CEC3494	com	Belgium	0.125	0.032	 	903	11	 	38	3124008
CEC3547	com	Belgium	0.38	0.016	 	907	11	 	77	6678861
CEC3561	com	Belgium	0.38	0.016	 	906	11	 	70	6331884
CEC3601	com	Belgium	0.25	0.016	 	908	11	 	62	5596818
CEC3687	inv	France	0.19	0.012	 	2197	11	 	95	8617466
CEC3704	sup	France	0.19	0.012	 	912	11	 	71	6441472
CEC3618	com	Belgium	0.25	0.032	 	912	11	 	51	5077456
CEC4492	NA	France	0.25	0.047	 	3099	11	 	126	9497094
CEC4495	NA	France	0.19	0.064	 	3107	11	 	157	12218003
CEC2019	sup	Niger	0.25	0.032	 	947	12	 	84	6915795
CEC3686	inv	France	0.25	0.047	 	2193	12	 	66	6151544
CEC716	sup	France	0.19	0.016	 	1646	12	 	62	5605992
CEC3537	com	Morocco	0.38	0.032	 	601	12	 	66	5771341
CEC3685	inv	France	0.19	0.023	 	947	12	 	60	5852693
CEC3680	inv	France	0.094	0.032	 	299	12	 	80	7279876
CEC4103	sup	Senegal	0.38	0.125	 	182	13	 	45	3489420
CEC4104	sup	Senegal	0.125	0.125	 	182	13	 	49	3829872
CEC3550	starling	France	0.25	0.032	 	942	16	 	87	7642786
CEC3600	starling	France	0.38	0.064	 	943	16	 	89	8228040
CEC2871	inv	S. Korea	0.19	0.023	 	732	18	 	51	4033383
CEC2872	inv	S. Korea	0.25	0.19	 	727	18	 	77	6387004
CEC3786	inv	S. Korea	0.094	0.032	 	1598	18	 	78	6136963
CEC2876	inv	S. Korea	0.19	0.032	 	1596	18	 	48	3922049
CEC4032	sup	UK	0.125	0.125	 	2280	NC	 	59	4636390
CEC3660	sup	UK	0.125	0.064	 	2324	NC	 	42	4092222
CEC4031	sup	UK	0.125	0.125	 	2280	NC	 	214	16803734
CEC4023	sup	UK	0.125	0.064	 	2324	NC	 	187	14846163
CEC1427	inv	France	0.25	0.016	 	11	NC	 	62	5128506
CEC3664	sup	France	0.19	0.023	 	2232	NC	 	51	5126010
CEC3708	sup	France	0.125	0.032	 	2228	NC	 	108	9466569
CEC3661	sup	France	0.19	0.064	 	2230	NC	 	57	5309861
CEC4039	sup	UK	0.5	0.094	 	2327	NC	 	78	6104047
CEC3707	sup	France	0.125	0.016	 	2226	NC	 	59	5285165
CEC3712	sup	France	0.19	0.023	 	367	NC	 	55	5189928
CEC3619	com	Belgium	0.38	0.023	 	911	NC	 	57	4937609
CEC3663	inv	France	0.19	0.047	 	2281	NC	 	99	8954225
CEC3665	sup	France	0.047	0.047	 	2229	NC	 	64	6021953
CEC4481	NA	France	0.19	0.064	 	3101	NC	 	126	9486589
CEC4485	NA	France	0.19	0.064	 	3104	NC	 	115	9045276
CEC4486	NA	France	0.125	0.25	 	3097	NC	 	153	11754158
CEC4498	NA	France	0.25	0.125	 	3109	NC	 	149	11610114
CEC4254	inv	France	0.125	0.016	 	2425	 NC 	 	70	5610427
