type_grouping	species	type_var	ID	ngenes_group_and_target	ngenes_no_group_target	ngenes_group_no_target	ngenes_no_group_no_target	OR	p_raw	p_fdr	group_name	genes
GO_BP	Candida_albicans	DEL	GO:0042710	6	41	122	4312	5.172331067572971	0.0019842571480685827	0.06412758328530738	biofilm formation	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0098630	6	41	122	4312	5.172331067572971	0.0019842571480685827	0.06412758328530738	aggregation of unicellular organisms	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0098743	6	41	122	4312	5.172331067572971	0.0019842571480685827	0.06412758328530738	cell aggregation	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0009628	9	38	263	4171	3.7561536922153294	0.001731473369386005	0.06412758328530738	response to abiotic stimulus	C1_00780C_A,C1_07630W_A,C2_08870C_A,C3_07560W_A,C6_00970C_A,C6_03700W_A,C6_03710W_A,C6_04130C_A,C7_02800W_A
GO_BP	Candida_albicans	DEL	GO:0046838	2	45	5	4429	39.36888888888889	0.0021869990254883855	0.06478984613009342	phosphorylated carbohydrate dephosphorylation	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0097306	2	45	5	4429	39.36888888888889	0.0021869990254883855	0.06478984613009342	cellular response to alcohol	C6_03710W_A,C7_02800W_A
GO_BP	Candida_albicans	DEL	GO:0001678	2	45	6	4428	32.8	0.002896533916823171	0.07627539314301017	cellular glucose homeostasis	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0033500	2	45	6	4428	32.8	0.002896533916823171	0.07627539314301017	carbohydrate homeostasis	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0042593	2	45	6	4428	32.8	0.002896533916823171	0.07627539314301017	glucose homeostasis	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0000128	2	45	7	4427	28.107936507936508	0.0036992730177724128	0.08767277052120619	flocculation	C6_03700W_A,C6_03710W_A
GO_BP	Candida_albicans	DEL	GO:0046174	2	45	7	4427	28.107936507936508	0.0036992730177724128	0.08767277052120619	polyol catabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0098610	2	45	7	4427	28.107936507936508	0.0036992730177724128	0.08767277052120619	adhesion between unicellular organisms	C6_03700W_A,C6_03710W_A
GO_BP	Candida_albicans	DEL	GO:0035672	2	45	8	4426	24.58888888888889	0.004593267147913006	0.09330894120474707	oligopeptide transmembrane transport	CR_02220C_A,CR_02240C_A
GO_BP	Candida_albicans	DEL	GO:0043647	2	45	8	4426	24.58888888888889	0.004593267147913006	0.09330894120474707	inositol phosphate metabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0046164	2	45	8	4426	24.58888888888889	0.004593267147913006	0.09330894120474707	alcohol catabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0051037	2	45	8	4426	24.58888888888889	0.004593267147913006	0.09330894120474707	regulation of transcription involved in meiotic cell cycle	C6_01320W_A,C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:0097305	2	45	8	4426	24.58888888888889	0.004593267147913006	0.09330894120474707	response to alcohol	C6_03710W_A,C7_02800W_A
GO_BP	Candida_albicans	DEL	GO:0051701	4	43	62	4372	6.559639909977494	0.004760450832982916	0.0940189039514126	biological process involved in interaction with host	C3_05230W_A,C4_03470C_A,C6_03700W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0022409	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of cell-cell adhesion	C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0032241	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of nucleobase-containing compound transport	CR_08100C_A
GO_BP	Candida_albicans	DEL	GO:0033517	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	myo-inositol hexakisphosphate metabolic process	CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0033518	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	myo-inositol hexakisphosphate dephosphorylation	CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0036281	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	flocculation	C6_03710W_A
GO_BP	Candida_albicans	DEL	GO:0046828	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	regulation of RNA import into nucleus	CR_08100C_A
GO_BP	Candida_albicans	DEL	GO:0046830	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of RNA import into nucleus	CR_08100C_A
GO_BP	Candida_albicans	DEL	GO:0048639	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of developmental growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0051512	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of unidimensional cell growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0051513	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	regulation of monopolar cell growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0051515	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of monopolar cell growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:1900735	1	46	0	4434	inf	0.010488730194138556	0.14070730505721724	positive regulation of flocculation	C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0006857	2	45	11	4423	17.87070707070707	0.007803722677636723	0.14070730505721724	oligopeptide transport	CR_02220C_A,CR_02240C_A
GO_BP	Candida_albicans	DEL	GO:0006972	2	45	11	4423	17.87070707070707	0.007803722677636723	0.14070730505721724	hyperosmotic response	C6_00970C_A,C7_02800W_A
GO_BP	Candida_albicans	DEL	GO:0044409	2	45	12	4422	16.377777777777776	0.00904382220024712	0.14070730505721724	entry into host	C6_03700W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:1901616	2	45	12	4422	16.377777777777776	0.00904382220024712	0.14070730505721724	organic hydroxy compound catabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0052126	2	45	13	4421	15.114529914529914	0.010365860416452625	0.14070730505721724	movement in host environment	C6_03700W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0019725	6	41	177	4257	3.5196362133112857	0.011385693817264387	0.14991163526064777	cellular homeostasis	C1_07630W_A,C6_03700W_A,CR_02220C_A,CR_07070C_A,CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0019740	2	45	14	4420	14.031746031746032	0.01176805740168721	0.152128887501811	nitrogen utilization	CR_02220C_A,CR_02240C_A
GO_BP	Candida_albicans	DEL	GO:0015833	2	45	15	4419	13.093333333333334	0.013248660175787354	0.16821066758901443	peptide transport	CR_02220C_A,CR_02240C_A
GO_BP	Candida_albicans	DEL	GO:0006096	2	45	16	4418	12.272222222222222	0.014805942352711588	0.18150043125479207	glycolytic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0006757	2	45	16	4418	12.272222222222222	0.014805942352711588	0.18150043125479207	ATP generation from ADP	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0010791	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	DNA double-strand break processing involved in repair via synthesis-dependent strand annealing	C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:0042989	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	sequestering of actin monomers	C2_06770W_A
GO_BP	Candida_albicans	DEL	GO:0048638	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	regulation of developmental growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0051510	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	regulation of unidimensional cell growth	CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0071361	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	cellular response to ethanol	C6_03710W_A
GO_BP	Candida_albicans	DEL	GO:1990898	1	46	1	4433	96.3695652173913	0.02086976360503586	0.18215454735571976	meiotic DNA double-strand break clipping	C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:0046031	2	45	17	4417	11.547712418300653	0.016438203794080394	0.18215454735571976	ADP metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0006165	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	nucleoside diphosphate phosphorylation	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0009135	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	purine nucleoside diphosphate metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0009179	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	purine ribonucleoside diphosphate metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0031347	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	regulation of defense response	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0031349	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	positive regulation of defense response	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0044416	2	45	18	4416	10.903703703703703	0.018143770268458093	0.18215454735571976	induction by symbiont of host defense response	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0006878	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	cellular copper ion homeostasis	C6_03700W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0035821	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	modulation of process of other organism	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0044003	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	modulation by symbiont of host process	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0051817	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	modulation of process of other organism involved in symbiotic interaction	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0052031	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	modulation by symbiont of host defense response	C3_05230W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0055070	2	45	19	4415	10.32748538011696	0.019920993112313056	0.18215454735571976	copper ion homeostasis	C6_03700W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0030448	4	43	92	4342	4.390293225480283	0.017461270488370546	0.18215454735571976	hyphal growth	C6_03700W_A,C6_04130C_A,C6_04380W_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0016310	5	42	148	4286	3.4475546975546973	0.021007978738634345	0.18215454735571976	phosphorylation	C1_07640C_A,C7_02800W_A,CR_07150W_A,CR_07490C_A,CR_08100C_A
GO_BP	Candida_albicans	DEL	GO:0042592	6	41	199	4235	3.1143522490501288	0.019091446112725154	0.18215454735571976	homeostatic process	C1_07630W_A,C6_03700W_A,CR_02220C_A,CR_07070C_A,CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0030447	12	35	586	3848	2.251389566065334	0.0176904170654159	0.18215454735571976	filamentous growth	C1_00780C_A,C1_07770W_A,C2_04720C_A,C3_07560W_A,C6_02980C_A,C6_03700W_A,C6_04130C_A,C6_04380W_A,C7_02750W_A,C7_02800W_A,CR_02400W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0040007	12	35	594	3840	2.2164502164502164	0.019505933339328884	0.18215454735571976	growth	C1_00780C_A,C1_07770W_A,C2_04720C_A,C3_07560W_A,C6_02980C_A,C6_03700W_A,C6_04130C_A,C6_04380W_A,C7_02750W_A,C7_02800W_A,CR_02400W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0009185	2	45	20	4414	9.80888888888889	0.02176824889657576	0.18647258994536584	ribonucleoside diphosphate metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0046939	2	45	21	4413	9.33968253968254	0.023683939097335356	0.20046762735958856	nucleotide phosphorylation	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0009132	2	45	23	4411	8.523671497584541	0.027714351223364776	0.23182239670367477	nucleoside diphosphate metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0010674	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle	C6_01320W_A
GO_BP	Candida_albicans	DEL	GO:0016036	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	cellular response to phosphate starvation	CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0032239	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	regulation of nucleobase-containing compound transport	CR_08100C_A
GO_BP	Candida_albicans	DEL	GO:0042538	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	hyperosmotic salinity response	C6_00970C_A
GO_BP	Candida_albicans	DEL	GO:0044571	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	[2Fe-2S] cluster assembly	C1_07630W_A
GO_BP	Candida_albicans	DEL	GO:0097551	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	mitochondrial double-strand break repair	C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:0097552	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	mitochondrial double-strand break repair via homologous recombination	C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:1990918	1	46	2	4432	48.17391304347826	0.031144182250071307	0.23556929340213506	double-strand break repair involved in meiotic recombination	C7_01340W_A
GO_BP	Candida_albicans	DEL	GO:0046434	2	45	24	4410	8.166666666666666	0.029825997710017347	0.23556929340213506	organophosphate catabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0006090	2	45	25	4409	7.838222222222222	0.03199992710315603	0.23949419126677832	pyruvate metabolic process	CR_07150W_A,CR_07490C_A
GO_BP	Candida_albicans	DEL	GO:0001015	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	snoRNA transcription by RNA polymerase II	C2_04200W_A
GO_BP	Candida_albicans	DEL	GO:0001897	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	cytolysis by symbiont of host cells	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0001906	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	cell killing	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0001907	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	killing by symbiont of host cells	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0006002	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	fructose 6-phosphate metabolic process	CR_07150W_A
GO_BP	Candida_albicans	DEL	GO:0019660	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	glycolytic fermentation	CR_07150W_A
GO_BP	Candida_albicans	DEL	GO:0019835	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	cytolysis	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0030042	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	actin filament depolymerization	C2_06770W_A
GO_BP	Candida_albicans	DEL	GO:0031640	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	killing of cells of other organism	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0044068	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	modulation by symbiont of host cellular process	C3_05230W_A
GO_BP	Candida_albicans	DEL	GO:0046323	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	glucose import	CR_07150W_A
GO_BP	Candida_albicans	DEL	GO:0051014	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	actin filament severing	C2_06770W_A
GO_BP	Candida_albicans	DEL	GO:0051715	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	cytolysis in other organism	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0051801	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	cytolysis in other organism involved in symbiotic interaction	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0051883	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	killing of cells in other organism involved in symbiotic interaction	C4_03470C_A
GO_BP	Candida_albicans	DEL	GO:0052162	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	modulation by symbiont of defense-related host calcium ion flux	C3_05230W_A
GO_BP	Candida_albicans	DEL	GO:0052391	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	induction by symbiont of defense-related host calcium ion flux	C3_05230W_A
GO_BP	Candida_albicans	DEL	GO:0106034	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	protein maturation by [2Fe-2S] cluster transfer	C1_07630W_A
GO_BP	Candida_albicans	DEL	GO:2001023	1	46	3	4431	32.108695652173914	0.041313057514875164	0.24892867705996816	regulation of response to drug	C6_02980C_A
GO_BP	Candida_albicans	DEL	GO:0019751	2	45	27	4407	7.254320987654321	0.03652874236519086	0.24892867705996816	polyol metabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0045454	2	45	29	4405	6.75095785440613	0.04128924077244763	0.24892867705996816	cell redox homeostasis	C1_07630W_A,CR_02220C_A
GO_BP	Candida_albicans	DEL	GO:0036177	3	44	70	4364	4.250649350649351	0.04034728733533103	0.24892867705996816	filamentous growth of a population of unicellular organisms in response to pH	C1_00780C_A,C3_07560W_A,C6_03700W_A
GO_BP	Candida_albicans	DEL	GO:0009607	7	40	301	4133	2.402906976744186	0.039569883477187026	0.24892867705996816	response to biotic stimulus	C1_00780C_A,C1_07770W_A,C2_04720C_A,C3_05230W_A,C6_02980C_A,C6_03700W_A,C7_02800W_A
GO_BP	Candida_albicans	DEL	GO:0042886	2	45	32	4402	6.113888888888889	0.04883999489854596	0.27465689571972357	amide transport	CR_02220C_A,CR_02240C_A
GO_BP	Candida_albicans	DEL	GO:0006970	3	44	74	4360	4.017199017199017	0.046105076108800463	0.27465689571972357	response to osmotic stress	C1_07630W_A,C6_00970C_A,C7_02800W_A
GO_BP	Candida_albicans	DUP	GO:0006043	3	231	0	4247	inf	0.00014067785669165023	0.18425816678701026	glucosamine catabolic process	C6_04580W_A,C6_04590C_A,C6_04600W_A
GO_BP	Candida_albicans	DUP	GO:0006041	3	231	1	4246	55.142857142857146	0.0005409406016906159	0.18425816678701026	glucosamine metabolic process	C6_04580W_A,C6_04590C_A,C6_04600W_A
GO_BP	Candida_albicans	DUP	GO:0006046	3	231	1	4246	55.142857142857146	0.0005409406016906159	0.18425816678701026	N-acetylglucosamine catabolic process	C6_04580W_A,C6_04590C_A,C6_04600W_A
GO_BP	Candida_albicans	DUP	GO:0008645	7	227	22	4225	5.9221065278334	0.0005620482972659185	0.18425816678701026	hexose transmembrane transport	C3_00220W_A,C3_07790W_A,C6_04570W_A,C6_04580W_A,C6_04610C_A,C6_04620C_A,C7_00290C_A
GO_BP	Candida_albicans	DUP	GO:0015749	7	227	22	4225	5.9221065278334	0.0005620482972659185	0.18425816678701026	monosaccharide transmembrane transport	C3_00220W_A,C3_07790W_A,C6_04570W_A,C6_04580W_A,C6_04610C_A,C6_04620C_A,C7_00290C_A
GO_BP	Candida_albicans	DUP	GO:0034219	7	227	22	4225	5.9221065278334	0.0005620482972659185	0.18425816678701026	carbohydrate transmembrane transport	C3_00220W_A,C3_07790W_A,C6_04570W_A,C6_04580W_A,C6_04610C_A,C6_04620C_A,C7_00290C_A
GO_BP	Candida_albicans	DUP	GO:0008643	7	227	26	4221	5.006269061335141	0.0012863365943321494	0.36146058300733397	carbohydrate transport	C3_00220W_A,C3_07790W_A,C6_04570W_A,C6_04580W_A,C6_04610C_A,C6_04620C_A,C7_00290C_A
GO_BP	Candida_albicans	DUP	GO:0019354	2	232	0	4247	inf	0.0027159315522486617	0.3890216610602437	siroheme biosynthetic process	C2_02940W_A,C3_07210W_A
GO_BP	Candida_albicans	DUP	GO:0020028	2	232	0	4247	inf	0.0027159315522486617	0.3890216610602437	endocytic hemoglobin import into cell	C4_00130W_A,C4_00450C_A
GO_BP	Candida_albicans	DUP	GO:0046156	2	232	0	4247	inf	0.0027159315522486617	0.3890216610602437	siroheme metabolic process	C2_02940W_A,C3_07210W_A
GO_BP	Candida_albicans	DUP	GO:0006044	3	231	3	4244	18.372294372294373	0.002500225389407796	0.3890216610602437	N-acetylglucosamine metabolic process	C6_04580W_A,C6_04590C_A,C6_04600W_A
GO_BP	Candida_albicans	DUP	GO:0017038	13	221	87	4160	2.812711291413117	0.0018823433968426931	0.3890216610602437	protein import	C1_14090W_A,C1_14150C_A,C2_00370W_A,C2_00470W_A,C3_00250C_A,C3_07780C_A,C3_07810C_A,C4_00130W_A,C4_00150C_A,C4_00320C_A,C4_00450C_A,C5_00150C_A,C5_00350C_A
GO_BP	Candida_albicans	DUP	GO:0051234	76	158	1010	3237	1.54162175711242	0.0020782267936604107	0.3890216610602437	establishment of localization	C1_14090W_A,C1_14100W_A,C1_14120C_A,C1_14130W_A,C1_14150C_A,C1_14200W_A,C1_14280C_A,C1_14360C_A,C2_00320W_A,C2_00370W_A,C2_00380C_A,C2_00420W_A,C2_00470W_A,C2_00490W_A,C2_00540W_A,C2_00550W_A,C3_00170C_A,C3_00220W_A,C3_00240C_A,C3_00250C_A,C3_00330W_A,C3_00390W_A,C3_00460W_A,C3_00470W_A,C3_00530C_A,C3_00540C_A,C3_00610W_A,C3_00630W_A,C3_07110W_A,C3_07120W_A,C3_07130W_A,C3_07430W_A,C3_07570C_A,C3_07770C_A,C3_07780C_A,C3_07790W_A,C3_07810C_A,C4_00020W_A,C4_00040W_A,C4_00070C_A,C4_00110C_A,C4_00130W_A,C4_00150C_A,C4_00180W_A,C4_00320C_A,C4_00330C_A,C4_00350W_A,C4_00360C_A,C4_00370W_A,C4_00400W_A,C4_00410W_A,C4_00430W_A,C4_00440C_A,C4_00450C_A,C5_00150C_A,C5_00350C_A,C5_00370W_A,C6_00330C_A,C6_04530C_A,C6_04550C_A,C6_04570W_A,C6_04580W_A,C6_04610C_A,C6_04620C_A,C7_00020C_A,C7_00270W_A,C7_00290C_A,C7_00430W_A,C7_03700C_A,C7_03800W_A,C7_03810W_A,C7_03830C_A,C7_04160W_A,C7_04200C_A,C7_04240C_A,C7_04330C_A
